builder,chipset,frequency (MHz),boostFreq (MHz),overclok,bus,memory (Go),interfaceMem (bits),video memory freq (MHz),memory type,stream procs,direct X (max),multi GPU,consumption (W),price (euros)
gigabyte,nvidia,1607,1721,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,549.95
inno3D,nvidia,1506,1683,no,PCI Express 3.0 16x,8,256,2000,GDDR5,1920,12,SLI,150,549.95
sapphire,amd,1430,,yes,PCI Express 3.0 16x,8,256,2100,GDDR5,2304,12,CrossFireX,250,549.95
inno3D,nvidia,1607,1683,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2432,12,SLI,180,554.95
asus,nvidia,1531,1721,no,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,564.95
msi,nvidia,1556,1746,yes,PCI Express 3.0 16x,8,256,2001,GDDR5,1920,12,SLI,150,564.95
asus,nvidia,1582,1771,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,568.96
gigabyte,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,569.95
gigabyte,nvidia,1607,1721,yes,PCI Express 3.0 16x,8,256,8008,GDDR5,2432,12,SLI,180,574.96
asus,nvidia,1582,1797,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,579.95
evga,nvidia,1594,1784,yes,PCI Express 3.0 16x,8,256,8008,GDDR5,1920,12,SLI,170,579.95
msi,nvidia,1506,1797,yes,PCI Express 3.0 16x,8,256,2027,GDDR5,1920,12,SLI,150,579.95
evga,nvidia,1594,1784,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,170,589.96
msi,nvidia,1607,1797,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,1920,12,SLI,150,594.95
msi,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,599.95
asus,nvidia,1632,1860,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,1920,12,SLI,150,609.95
asus,nvidia,1607,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2432,12,SLI,217,614.95
inno3D,nvidia,1607,1733,no,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,180,619.96
msi,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,619.96
asus,nvidia,1506,1721,no,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,624.95
msi,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,629.95
msi,nvidia,1632,1711,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,634.96
asus,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,639.95
msi,nvidia,1632,1771,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,639.95
asus,nvidia,1670,1759,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,649.96
gigabyte,nvidia,1695,1860,yes,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,180,649.96
gigabyte,nvidia,1632,1797,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,649.96
gigabyte,nvidia,1797,,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,225,649.96
inno3D,nvidia,1620,1822,yes,PCI Express 3.0 16x,8,256,2050,GDDR5,1920,12,SLI,200,649.96
asus,nvidia,1506,1683,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,659.95
asus,nvidia,1607,1759,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,669.95
evga,nvidia,1721,1860,yes,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,215,689.95
evga,nvidia,1708,1847,yes,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,180,689.95
msi,nvidia,1657,1797,yes,PCI Express 3.0 16x,8,256,10010,GDDR5,2560,12,SLI,180,689.95
gigabyte,nvidia,1607,1700,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,699.95
gigabyte,nvidia,1607,1771,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,699.95
asus,nvidia,1607,1683,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2432,12,SLI,180,699.95
inno3D,nvidia,1607,1683,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2432,12,SLI,180,699.95
msi,nvidia,1708,1847,yes,PCI Express 3.0 16x,8,256,10108,GDDR5X,2560,12,SLI,180,699.95
asus,nvidia,1607,1733,no,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,704.95
evga,nvidia,1721,1860,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,215,729.95
asus,nvidia,1607,1771,yes,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,180,739.96
asus,nvidia,1670,1835,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,749.95
gigabyte,nvidia,1708,1873,yes,PCI Express 3.0 16x,8,256,10010,GDDR5X,2560,12,SLI,180,779.95
asus,nvidia,1607,1683,no,PCI Express 3.0 16x,8,256,2002,GDDR5,2432,12,SLI,180,789.95
gigabyte,nvidia,1518,1657,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,859.96
inno3D,nvidia,1607,1721,yes,PCI Express 3.0 16x,11,352,11400,GDDR5X,3584,12,SLI,280,864.95
evga,nvidia,1721,1860,yes,PCI Express 3.0 16x,8,256,10000,GDDR5X,2560,12,SLI,215,879.95
asus,nvidia,1480,1582,no,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,899.95
gigabyte,amd,1170,1501,yes,PCI Express 3.0 16x,8,2048,800,HBM2,3584,12,CrossFireX,295,899.95
inno3D,nvidia,1480,1582,no,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,899.95
inno3D,nvidia,1607,1721,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,899.95
inno3D,nvidia,1569,1683,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,270,899.95
inno3D,nvidia,1607,1721,yes,PCI Express 3.0 16x,11,352,11400,GDDR5X,3584,12,SLI,280,899.95
msi,nvidia,1506,1620,yes,PCI Express 3.0 16x,11,352,11016,GDDR5X,3584,12,SLI,250,929.95
evga,nvidia,1556,1670,yes,PCI Express 3.0 16x,11,352,11000,GDDR5X,3584,12,SLI,250,939.95
msi,nvidia,1531,1645,yes,PCI Express 3.0 16x,11,352,11016,GDDR5X,3584,12,SLI,250,959.95
asus,amd,1297,1573,yes,PCI Express 3.0 16x,8,2048,800,HBM2,3584,12,CrossFireX,300,969.95
msi,nvidia,1480,1620,yes,PCI Express 3.0 16x,11,352,11016,GDDR5X,3584,12,SLI,250,979.96
msi,nvidia,1480,1683,yes,PCI Express 3.0 16x,11,352,11124,GDDR5X,3584,12,SLI,250,979.96
asus,nvidia,1569,1708,yes,PCI Express 3.0 16x,11,352,11100,GDDR5X,3584,12,SLI,250,989.95
gigabyte,nvidia,1607,1746,yes,PCI Express 3.0 16x,11,352,11232,GDDR5X,3584,12,SLI,250,989.95
asus,nvidia,1480,1620,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,999.95
asus,amd,1590,,yes,PCI Express 3.0 16x,8,2048,945,HBM2,4096,12,CrossFireX,300,999.95
gigabyte,amd,1247,1546,no,PCI Express 3.0 16x,8,2048,945,HBM2,4096,12,CrossFireX,295,999.95
gigabyte,amd,1276,1560,yes,PCI Express 3.0 16x,8,2048,945,HBM2,4096,12,CrossFireX,295,999.95
msi,nvidia,1480,1683,yes,PCI Express 3.0 16x,11,352,11124,GDDR5X,3584,12,SLI,250,999.95
msi,amd,1181,1520,no,PCI Express 3.0 16x,8,2048,800,HBM2,3584,12,CrossFireX,295,999.95
msi,amd,1247,1546,no,PCI Express 3.0 16x,8,2048,945,HBM2,4096,12,CrossFireX,295,999.95
evga,nvidia,1569,1683,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,280,1019.95
gigabyte,nvidia,1569,1708,yes,PCI Express 3.0 16x,11,352,11232,GDDR5X,3584,12,SLI,250,1019.95
gigabyte,nvidia,1607,1746,yes,PCI Express 3.0 16x,11,352,11232,GDDR5X,3584,12,SLI,250,1019.95
gigabyte,nvidia,1518,1657,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,1029.95
gigabyte,nvidia,1480,1620,yes,PCI Express 3.0 16x,11,352,11010,GDDR5X,3584,12,SLI,250,1029.95
